blockNumber,amount0,amount1
20595140,"66000000","23937949179755294"
20598362,"509966","184613374377179"
20601321,"11874044703271","4319872136282707026663"
20607220,"7764969847581","2800885503441834851906"
20611134,"11841729067466","4318005974115049643918"
20615046,"11474829013726","4273222668523289034516"
20618951,"11141711560146","4150581223929193675392"
20622639,"49981020","19547778822973209"
20623150,"11690796652150","4754797300135782827062"
20628804,"11243861988928","4477983622908618781523"
20629492,"74106182","29357647036507825"
20631605,"45402280","17982847679521471"
20632480,"7764969847581","3043152787359144650800"
20636408,"11312359134861","4465715651246563117488"
20639671,"12139424385320","4827427925760024085924"
20642947,"12140913588658","4933948648141548659193"
20646027,"7764969847581","3076400604773127854651"
20649094,"7764969847581","3080491032957519594483"
20652061,"7764969847581","3085616325864846004885"
20654999,"7764969847581","3123647941736823498193"
20656976,"12094987237923","4889552727419584424858"
20658445,"12127801711875","4889184348868476312498"
20659534,"12188425101708","4999760962852742273848"
20660676,"12233456796162","5009806836678203616814"
20662323,"2866","1133003461947"
20665831,"12019588229362","4724826496593386167891"
20667337,"12080358734681","4774044341583615922100"
20671435,"11751956031128","4809283101830198834718"
20673062,"12202278166722","4959478416196722236338"
20674649,"11847502021871","4989737088601014456724"
20680049,"7844217","3192368114994357"
20680543,"12667509863042","5144582124374907694953"
20683485,"2000000000","834649877971429559"
20683485,"62562545","26108985445429681"
20686235,"12518511435104","5239786420835854917839"
20688274,"12378168595062","5216572418371736619597"
20688687,"2401261","1000000000000000"
20692147,"256784396333","110002672550128288671"
20694344,"11624591001591","5266315359376208598912"
20696425,"12142657669143","5429054813119186518561"
20699397,"59998","26192253154187"
20700379,"2271","999644169123"
20701825,"7764969847581","3423799560345443070837"
20702008,"60100000","26531906548283586"
20705378,"7764969847581","3373739688339377893820"
20706157,"22947978","10094446582094774"
20706376,"4000000","1755482728497560"
20707895,"12541671986981","5508202515562289210378"
20709541,"12554196205853","5445620404385535449222"
20715578,"12675559983432","5404029311446465784909"
20716716,"50000000","21307192832608504"
20717441,"31316514","13363957579058790"
20719347,"12744805488814","5418748107119054363190"
20723584,"13039432525450","5452322775892828089626"
20726575,"12852487002835","5520871248640615323730"
20730421,"12787636631801","5460595255680700031944"
20730457,"491764745","209999999934898599"
20734749,"12867113112627","5483932565402798905125"
20738560,"12893664945332","5463545596281076817051"
20743584,"12816362583957","5291377214507826335492"
20752510,"7764969847581","3212753949514041517890"
20756083,"13388935538222","5555946996039612555906"
20758793,"12907572108857","5506153498650069946773"
20761120,"12527918343935","5473673714999489993873"
20768511,"7764969847581","3382913788530214077640"
20780724,"7764969847581","3312104175516199971739"
20785330,"2000000","822157729221988"
20785356,"4000000","1644991534000863"
20798354,"13439578441087","5265966091845245087308"
20798379,"383800867691","150410916150720807739"
20798633,"255477","100253686510612"
20818089,"7764969847581","2959100053633861274956"
20826058,"3929709","1500000000000000"
20832070,"19788927","7625735370973909"
20838503,"7764969847581","2947486585929221472224"
20842371,"9999935","3770051474700966"
20852167,"7764969847581","2908237507074597500657"
20853781,"5000000","1869217323643781"
20855304,"105809556","39998957082887209"
20867031,"12673402111078","4876173404541331604323"
20869313,"5000000","1886931432696147"
20875853,"12461804065973","5024204129802924877203"
20882691,"13813986506807","5767122231732743826241"
20888227,"13461677494708","5727770913309640988859"
20894391,"2000000","823103409844176"
20895128,"12692058791537","5234873881426622586738"
20896545,"11987531","4999999644636517"
20896569,"239684023","99998602589230340"
20896572,"23968346","9999836769992669"
20896610,"200000000","83439878081472390"
20896649,"25000000","10445027305260671"
20901722,"12335109225679","5148201754475220947931"
20903676,"532025131","220248884624591428"
20909653,"12400343232181","5114472197872814287063"
20925739,"10886596477927","4451284334329828430020"
20939433,"660242","275154899656215"
20944771,"14726761729322","6000435248529265742628"
20955748,"5850000","2374534945480036"
20959715,"12839502294401","5194984464923219347341"
20963692,"252659072","99469939971752954"
20966525,"521451819200","198978666256790747444"
20972672,"9750049","3770656261580145"
20973757,"4391","1700574186812"
20975859,"7764969847581","2973392855988750757417"
20976293,"55000000000","20999781102029558370"
20980805,"2062988859","787327024447716017"
20988814,"50999325466","19586327509519044944"
20995043,"12327561428670","4652090141786999969625"
21005271,"26438","10000000000000"
21005419,"799144805","302300770959594831"
21006404,"115489407","43688240431183335"
21009296,"12796158902848","4724686341017306757926"
21013271,"4832740","1784610660752730"
21013634,"194990323","72002956860747840"
21013656,"5000000","1846302354885422"
21018762,"7764969847581","2938963795906840353471"
21027356,"224902578","87481244617389698"
21027820,"12305498333487","4768415217649671503905"
21033569,"17550000","6878076714904080"
21038728,"12303313274484","4852421451049655482546"
21046640,"10732081241062","4399733699170177078866"
21053056,"10759522110904","4324458546910561936774"
21061692,"10879659133783","4392876587021357555221"
21066264,"5081743","2028489640118185"
21068043,"128801705","49834846638391872"
21069524,"245662000","93852385601779972"
21070422,"2546241","971382288929362"
21073302,"50000000","18766769917299624"
21073541,"26319107","9999863792222498"
21074490,"12071123648598","4575467450779185066699"
21077089,"74591893","27994187004163228"
21085375,"7764969847581","2947114353417929381636"
21092325,"510977620104","203068976348248790421"
21094987,"11582457045804","4617778116610696640996"
21102499,"11582247878685","4653590406866231105284"
21109334,"11248901669113","4601041888521980557569"
21112201,"249803","101427732983211"
21117727,"10256617758499","4280684155196378596401"
21120654,"4875000","1998706769896681"
21133693,"13154877122074","4627265232578145588182"
21146943,"7764969847581","2599138318527242155006"
21149378,"3041319","1000000000000000"
21149395,"6082766","1999999676646664"
21176682,"7764969847581","2443925019056365239893"
